state,year,quater,brand,count,percentage
bihar,2018,4,Vivo,590399,0
bihar,2018,4,Oppo,528034,0
bihar,2018,4,Realme,346806,0
bihar,2018,4,Motorola,111948,0
bihar,2018,4,Lenovo,92104,0
bihar,2018,4,Huawei,75369,0
bihar,2018,4,Micromax,61472,0
bihar,2018,4,Apple,52872,0
bihar,2018,4,Others,509951,0
chandigarh,2018,4,Xiaomi,43505,0
chandigarh,2018,4,Samsung,35417,0
chandigarh,2018,4,Vivo,23567,0
chandigarh,2018,4,Oppo,18698,0
chandigarh,2018,4,Apple,15191,0
chandigarh,2018,4,OnePlus,6197,0
chandigarh,2018,4,Realme,5731,0
chandigarh,2018,4,Motorola,5354,0
chandigarh,2018,4,Lenovo,3148,0
chandigarh,2018,4,Huawei,2838,0
chandigarh,2018,4,Others,18101,0
chhattisgarh,2018,4,Xiaomi,378100,0
chhattisgarh,2018,4,Samsung,280138,0
chhattisgarh,2018,4,Vivo,275135,0
chhattisgarh,2018,4,Oppo,155513,0
chhattisgarh,2018,4,Micromax,154018,0
chhattisgarh,2018,4,Realme,91037,0
chhattisgarh,2018,4,Apple,28128,0
chhattisgarh,2018,4,OnePlus,27785,0
chhattisgarh,2018,4,Motorola,22980,0
chhattisgarh,2018,4,Lenovo,22246,0
chhattisgarh,2018,4,Others,144918,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Xiaomi,28477,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Vivo,22409,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Samsung,21520,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Oppo,12699,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Realme,6489,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Lenovo,2931,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Motorola,2811,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Apple,2546,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Huawei,2029,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,OnePlus,1795,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Others,12805,0
delhi,2018,4,Xiaomi,1206379,0
delhi,2018,4,Samsung,892643,0
delhi,2018,4,Vivo,605041,0
delhi,2018,4,Oppo,464753,0
delhi,2018,4,Apple,279775,0
delhi,2018,4,Realme,181855,0
delhi,2018,4,Motorola,165627,0
delhi,2018,4,OnePlus,155837,0
delhi,2018,4,Lenovo,98258,0
delhi,2018,4,Huawei,84942,0
delhi,2018,4,Others,495203,0
goa,2018,4,Xiaomi,50867,0
goa,2018,4,Samsung,40683,0
goa,2018,4,Vivo,22715,0
goa,2018,4,Oppo,16672,0
goa,2018,4,Apple,10884,0
goa,2018,4,OnePlus,9442,0
goa,2018,4,Realme,8708,0
goa,2018,4,Motorola,8176,0
goa,2018,4,Lenovo,4769,0
goa,2018,4,Huawei,3965,0
goa,2018,4,Others,18469,0
gujarat,2018,4,Xiaomi,1363826,0
gujarat,2018,4,Samsung,1194869,0
gujarat,2018,4,Vivo,1025717,0
gujarat,2018,4,Oppo,679260,0
gujarat,2018,4,Apple,230209,0
gujarat,2018,4,Realme,212094,0
gujarat,2018,4,OnePlus,145412,0
gujarat,2018,4,Lenovo,127399,0
gujarat,2018,4,Motorola,112287,0
gujarat,2018,4,Huawei,68005,0
gujarat,2018,4,Others,419962,0
haryana,2018,4,Xiaomi,948615,0
haryana,2018,4,Samsung,785842,0
haryana,2018,4,Vivo,591623,0
haryana,2018,4,Oppo,427382,0
haryana,2018,4,Apple,187472,0
haryana,2018,4,Realme,179167,0
haryana,2018,4,Motorola,98841,0
haryana,2018,4,OnePlus,93582,0
haryana,2018,4,Huawei,65203,0
haryana,2018,4,Lenovo,59641,0
haryana,2018,4,Others,355711,0
himachal-pradesh,2018,4,Xiaomi,155301,0
himachal-pradesh,2018,4,Samsung,82316,0
himachal-pradesh,2018,4,Vivo,57665,0
himachal-pradesh,2018,4,Oppo,53543,0
himachal-pradesh,2018,4,Realme,25714,0
himachal-pradesh,2018,4,Apple,15419,0
himachal-pradesh,2018,4,Motorola,15298,0
himachal-pradesh,2018,4,Micromax,11894,0
himachal-pradesh,2018,4,Lenovo,10676,0
himachal-pradesh,2018,4,Lava,10441,0
himachal-pradesh,2018,4,Others,88076,0
jammu-&-kashmir,2018,4,Xiaomi,153238,0
jammu-&-kashmir,2018,4,Samsung,95846,0
jammu-&-kashmir,2018,4,Vivo,52004,0
jammu-&-kashmir,2018,4,Oppo,38530,0
jammu-&-kashmir,2018,4,Realme,15898,0
jammu-&-kashmir,2018,4,Apple,13747,0
jammu-&-kashmir,2018,4,Motorola,7823,0
jammu-&-kashmir,2018,4,OnePlus,7434,0
jammu-&-kashmir,2018,4,Lenovo,6134,0
jammu-&-kashmir,2018,4,Micromax,5165,0
jammu-&-kashmir,2018,4,Others,40744,0
jharkhand,2018,4,Xiaomi,554142,0
jharkhand,2018,4,Samsung,369713,0
jharkhand,2018,4,Vivo,255185,0
jharkhand,2018,4,Oppo,206848,0
jharkhand,2018,4,Realme,126956,0
jharkhand,2018,4,Motorola,51123,0
jharkhand,2018,4,Lenovo,44254,0
jharkhand,2018,4,Micromax,29297,0
jharkhand,2018,4,Huawei,26995,0
jharkhand,2018,4,Apple,26662,0
jharkhand,2018,4,Others,222774,0
karnataka,2018,4,Xiaomi,2192270,0
karnataka,2018,4,Samsung,1679503,0
karnataka,2018,4,Vivo,1259198,0
karnataka,2018,4,Oppo,786990,0
karnataka,2018,4,Apple,409721,0
karnataka,2018,4,OnePlus,400426,0
karnataka,2018,4,Motorola,326656,0
karnataka,2018,4,Realme,271671,0
karnataka,2018,4,Lenovo,191304,0
karnataka,2018,4,Huawei,165469,0
karnataka,2018,4,Others,632594,0
kerala,2018,4,Xiaomi,453011,0
kerala,2018,4,Samsung,360358,0
kerala,2018,4,Vivo,159235,0
kerala,2018,4,Oppo,155311,0
kerala,2018,4,Apple,119247,0
kerala,2018,4,Huawei,94927,0
kerala,2018,4,Realme,82116,0
kerala,2018,4,OnePlus,62694,0
kerala,2018,4,Motorola,55176,0
kerala,2018,4,Lenovo,51340,0
kerala,2018,4,Others,163911,0
ladakh,2018,4,Xiaomi,6734,0
ladakh,2018,4,Vivo,4711,0
ladakh,2018,4,Samsung,4481,0
ladakh,2018,4,Oppo,3307,0
ladakh,2018,4,Realme,1087,0
ladakh,2018,4,Apple,591,0
ladakh,2018,4,OnePlus,555,0
ladakh,2018,4,Motorola,486,0
ladakh,2018,4,Lenovo,349,0
ladakh,2018,4,Huawei,278,0
ladakh,2018,4,Others,1304,0
lakshadweep,2018,4,Xiaomi,245,0
lakshadweep,2018,4,Samsung,198,0
lakshadweep,2018,4,Vivo,190,0
lakshadweep,2018,4,Oppo,153,0
lakshadweep,2018,4,Huawei,62,0
lakshadweep,2018,4,Realme,55,0
lakshadweep,2018,4,Apple,51,0
lakshadweep,2018,4,OnePlus,47,0
lakshadweep,2018,4,Lenovo,24,0
lakshadweep,2018,4,Motorola,18,0
lakshadweep,2018,4,Others,113,0
madhya-pradesh,2018,4,Xiaomi,1416415,0
madhya-pradesh,2018,4,Samsung,1015220,0
madhya-pradesh,2018,4,Vivo,905510,0
madhya-pradesh,2018,4,Oppo,579831,0
madhya-pradesh,2018,4,Realme,294612,0
madhya-pradesh,2018,4,Motorola,117954,0
madhya-pradesh,2018,4,Micromax,103324,0
madhya-pradesh,2018,4,Apple,100071,0
madhya-pradesh,2018,4,OnePlus,90958,0
madhya-pradesh,2018,4,Lenovo,84373,0
madhya-pradesh,2018,4,Others,657174,0
maharashtra,2018,4,Xiaomi,3540182,0
maharashtra,2018,4,Samsung,2956289,0
maharashtra,2018,4,Vivo,1906545,0
maharashtra,2018,4,Oppo,1510894,0
maharashtra,2018,4,Realme,492198,0
maharashtra,2018,4,Apple,470804,0
maharashtra,2018,4,Motorola,466650,0
maharashtra,2018,4,OnePlus,454556,0
maharashtra,2018,4,Lenovo,269382,0
maharashtra,2018,4,Huawei,175714,0
maharashtra,2018,4,Others,1138388,0
manipur,2018,4,Xiaomi,36506,0
manipur,2018,4,Samsung,15215,0
manipur,2018,4,Vivo,7945,0
manipur,2018,4,Oppo,6107,0
manipur,2018,4,Realme,2561,0
manipur,2018,4,Apple,2195,0
manipur,2018,4,OnePlus,1217,0
manipur,2018,4,Motorola,1091,0
manipur,2018,4,Huawei,1063,0
manipur,2018,4,Lenovo,1045,0
manipur,2018,4,Others,7644,0
meghalaya,2018,4,Xiaomi,12391,0
meghalaya,2018,4,Samsung,9662,0
meghalaya,2018,4,Vivo,6164,0
meghalaya,2018,4,Oppo,5306,0
meghalaya,2018,4,Realme,2710,0
meghalaya,2018,4,Motorola,1447,0
meghalaya,2018,4,Lenovo,1261,0
meghalaya,2018,4,Apple,1138,0
meghalaya,2018,4,Asus,1055,0
meghalaya,2018,4,Micromax,1051,0
meghalaya,2018,4,Others,7449,0
mizoram,2018,4,Xiaomi,6297,0
mizoram,2018,4,Samsung,3094,0
mizoram,2018,4,Vivo,2757,0
mizoram,2018,4,Oppo,2012,0
mizoram,2018,4,Apple,792,0
mizoram,2018,4,Realme,738,0
mizoram,2018,4,Gionee,544,0
mizoram,2018,4,Huawei,426,0
mizoram,2018,4,Motorola,333,0
mizoram,2018,4,Asus,315,0
mizoram,2018,4,Others,2057,0
nagaland,2018,4,Xiaomi,12421,0
nagaland,2018,4,Samsung,6536,0
nagaland,2018,4,Vivo,6312,0
nagaland,2018,4,Oppo,4430,0
nagaland,2018,4,Realme,2036,0
nagaland,2018,4,Gionee,1152,0
nagaland,2018,4,Apple,1148,0
nagaland,2018,4,Lenovo,1024,0
nagaland,2018,4,Huawei,849,0
nagaland,2018,4,Asus,840,0
nagaland,2018,4,Others,6249,0
odisha,2018,4,Xiaomi,1029813,0
odisha,2018,4,Samsung,654448,0
odisha,2018,4,Vivo,483043,0
odisha,2018,4,Oppo,420246,0
odisha,2018,4,Realme,224527,0
odisha,2018,4,Motorola,110238,0
odisha,2018,4,Lenovo,100977,0
odisha,2018,4,Micromax,90586,0
odisha,2018,4,Huawei,58827,0
odisha,2018,4,OnePlus,53143,0
odisha,2018,4,Others,398063,0
puducherry,2018,4,Xiaomi,26240,0
puducherry,2018,4,Samsung,21223,0
puducherry,2018,4,Vivo,16096,0
puducherry,2018,4,Oppo,9310,0
puducherry,2018,4,Apple,4752,0
puducherry,2018,4,OnePlus,4517,0
puducherry,2018,4,Realme,4429,0
puducherry,2018,4,Motorola,4280,0
puducherry,2018,4,Huawei,4264,0
puducherry,2018,4,Lenovo,3517,0
puducherry,2018,4,Others,10866,0
punjab,2018,4,Xiaomi,469664,0
punjab,2018,4,Samsung,423578,0
punjab,2018,4,Vivo,281873,0
punjab,2018,4,Oppo,228350,0
punjab,2018,4,Apple,137548,0
punjab,2018,4,Realme,60545,0
punjab,2018,4,OnePlus,31147,0
punjab,2018,4,Motorola,28376,0
punjab,2018,4,Lenovo,21785,0
punjab,2018,4,Huawei,21263,0
punjab,2018,4,Others,161586,0
rajasthan,2018,4,Xiaomi,1482976,0
rajasthan,2018,4,Samsung,1317264,0
rajasthan,2018,4,Vivo,1200927,0
rajasthan,2018,4,Oppo,760058,0
rajasthan,2018,4,Realme,293498,0
rajasthan,2018,4,Apple,166540,0
rajasthan,2018,4,OnePlus,117138,0
rajasthan,2018,4,Huawei,115507,0
rajasthan,2018,4,Motorola,107515,0
rajasthan,2018,4,Gionee,106066,0
rajasthan,2018,4,Others,691249,0
sikkim,2018,4,Samsung,14281,0
sikkim,2018,4,Xiaomi,11024,0
sikkim,2018,4,Vivo,6387,0
sikkim,2018,4,Oppo,4507,0
sikkim,2018,4,Realme,1848,0
sikkim,2018,4,Apple,1799,0
sikkim,2018,4,Motorola,1119,0
sikkim,2018,4,Lenovo,1038,0
sikkim,2018,4,OnePlus,969,0
sikkim,2018,4,Huawei,689,0
sikkim,2018,4,Others,4877,0
tamil-nadu,2018,4,Xiaomi,1270630,0
tamil-nadu,2018,4,Samsung,978019,0
tamil-nadu,2018,4,Vivo,776632,0
tamil-nadu,2018,4,Oppo,457237,0
tamil-nadu,2018,4,Motorola,228639,0
tamil-nadu,2018,4,Realme,198871,0
tamil-nadu,2018,4,Lenovo,194451,0
tamil-nadu,2018,4,Apple,191032,0
tamil-nadu,2018,4,OnePlus,180637,0
tamil-nadu,2018,4,Huawei,164880,0
tamil-nadu,2018,4,Others,558850,0
telangana,2018,4,Xiaomi,1714433,0
telangana,2018,4,Samsung,1327932,0
telangana,2018,4,Vivo,960056,0
telangana,2018,4,Oppo,598550,0
telangana,2018,4,Realme,334552,0
telangana,2018,4,Apple,322702,0
telangana,2018,4,OnePlus,263159,0
telangana,2018,4,Motorola,244632,0
telangana,2018,4,Huawei,155797,0
telangana,2018,4,Lenovo,133090,0
telangana,2018,4,Others,474776,0
tripura,2018,4,Xiaomi,38347,0
tripura,2018,4,Samsung,35132,0
tripura,2018,4,Oppo,17942,0
tripura,2018,4,Vivo,14242,0
tripura,2018,4,Realme,10556,0
tripura,2018,4,Asus,3636,0
tripura,2018,4,Lenovo,3586,0
tripura,2018,4,Gionee,3584,0
tripura,2018,4,Motorola,3428,0
tripura,2018,4,Micromax,3415,0
tripura,2018,4,Others,19397,0
uttar-pradesh,2018,4,Xiaomi,2709697,0
uttar-pradesh,2018,4,Samsung,2031840,0
uttar-pradesh,2018,4,Vivo,1430827,0
uttar-pradesh,2018,4,Oppo,1108153,0
uttar-pradesh,2018,4,Realme,574980,0
uttar-pradesh,2018,4,Motorola,268317,0
uttar-pradesh,2018,4,Apple,252995,0
uttar-pradesh,2018,4,Lenovo,213292,0
uttar-pradesh,2018,4,Huawei,190126,0
uttar-pradesh,2018,4,Micromax,172058,0
uttar-pradesh,2018,4,Others,1389679,0
uttarakhand,2018,4,Xiaomi,238404,0
uttarakhand,2018,4,Samsung,205071,0
uttarakhand,2018,4,Vivo,143029,0
uttarakhand,2018,4,Oppo,129035,0
uttarakhand,2018,4,Realme,51951,0
uttarakhand,2018,4,Apple,30805,0
uttarakhand,2018,4,Motorola,30636,0
uttarakhand,2018,4,Lenovo,20723,0
uttarakhand,2018,4,OnePlus,20523,0
uttarakhand,2018,4,Micromax,19828,0
uttarakhand,2018,4,Others,122098,0
west-bengal,2018,4,Xiaomi,1710240,0
west-bengal,2018,4,Samsung,1302124,0
west-bengal,2018,4,Vivo,678746,0
west-bengal,2018,4,Oppo,557207,0
west-bengal,2018,4,Realme,340318,0
west-bengal,2018,4,Lenovo,219466,0
west-bengal,2018,4,Motorola,216376,0
west-bengal,2018,4,Micromax,129429,0
west-bengal,2018,4,Asus,128184,0
west-bengal,2018,4,Huawei,101601,0
west-bengal,2018,4,Others,895587,0
